,Household_ID,Zone,Household_Size,Distribution_Date,Ration_Type,Ration_Amount_Kg,Satisfaction_Rating,Rice_Kg,Vegetable_Oil_L,Rice_Per_Person,Oil_Per_Person,Ration_Amount_Per_Person,Zone_Monthly_Total_Kg,Total_Food_Kg,Zone_Quarterly_Total_Kg
27,HH0028,Kakuma 2,9.0,2025-06-18,E-Voucher,30.7,Very Unsatisfied,23.0,1.5,2.56,0.17,3.41,12251.69,55.2,12251.69
28,HH0029,Kakuma 4,5.0,2025-06-10,Cash Transfer,38.9,Neutral,29.6,3.3,5.92,0.66,7.78,13447.05,71.8,13447.05
29,HH0030,Kakuma 4,5.0,2025-06-25,E-Voucher,50.3,Neutral,38.7,4.6,7.74,0.92,10.06,13447.05,93.6,13447.05
30,HH0031,Kakuma 3,4.0,2025-06-02,Dry Rations,33.5,Very Unsatisfied,22.7,1.9,5.68,0.48,8.38,11340.6,58.1,11340.6
31,HH0032,Kakuma 4,9.0,2025-06-25,Cash Transfer,52.1,Unsatisfied,31.8,3.0,3.53,0.33,5.79,13447.05,86.9,13447.05
32,HH0033,Kakuma 4,5.0,2025-06-29,E-Voucher,40.16,Very Unsatisfied,31.8,3.6,6.36,0.72,8.03,13447.05,75.56,13447.05
33,HH0034,Kakuma 1,9.0,2025-06-22,Cash Transfer,53.1,Very Unsatisfied,39.0,4.3,4.33,0.48,5.9,19830.82,96.4,19830.82
34,HH0035,Kakuma 3,3.0,2025-06-01,Cash Transfer,34.0,Unsatisfied,23.5,1.8,7.83,0.6,11.33,11340.6,59.3,11340.6
35,HH0036,Kakuma 1,4.0,2025-06-01,E-Voucher,39.5,Very Satisfied,29.6,3.2,7.4,0.8,9.88,19830.82,72.3,19830.82
36,HH0037,Kakuma 3,9.0,2025-07-01,E-Voucher,43.7,Very Unsatisfied,29.3,3.0,3.26,0.33,4.86,679.36,76.0,679.36
37,HH0038,Kalobeyei,6.0,2025-06-14,Dry Rations,38.2,Very Unsatisfied,27.8,2.6,4.63,0.43,6.37,12046.84,68.6,12046.84
38,HH0039,Kakuma 1,2.0,2025-06-01,Dry Rations,49.5,Unsatisfied,31.5,4.4,15.75,2.2,24.75,19830.82,85.4,19830.82
39,HH0040,Kakuma 1,7.0,2025-06-14,Cash Transfer,40.16,Very Satisfied,13.4,1.6,1.91,0.23,5.74,19830.82,55.16,19830.82
40,HH0041,Kakuma 4,2.0,2025-06-16,E-Voucher,64.2,Very Satisfied,13.4,4.5,6.7,2.25,32.1,13447.05,82.1,13447.05
41,HH0042,Kakuma 1,2.0,2025-06-16,Cash Transfer,48.6,Unsatisfied,31.1,4.7,15.55,2.35,24.3,19830.82,84.4,19830.82
42,HH0043,Kakuma 4,2.0,2025-06-14,Dry Rations,38.3,Satisfied,25.2,2.7,12.6,1.35,19.15,13447.05,66.2,13447.05
43,HH0044,Kakuma 2,3.0,2025-06-29,Cash Transfer,34.5,Very Unsatisfied,25.9,3.0,8.63,1.0,11.5,12251.69,63.4,12251.69
44,HH0045,Kakuma 2,3.0,2025-06-20,Cash Transfer,31.3,Very Unsatisfied,21.8,2.3,7.27,0.77,10.43,12251.69,55.4,12251.69
45,HH0046,Kakuma 1,3.0,2025-06-03,Dry Rations,46.5,Neutral,29.9,4.4,9.97,1.47,15.5,19830.82,80.8,19830.82
46,HH0047,Kakuma 2,9.0,2025-06-03,Cash Transfer,49.9,Unsatisfied,39.6,4.8,4.4,0.53,5.54,12251.69,94.3,12251.69
47,HH0048,Kalobeyei,7.0,2025-06-09,Cash Transfer,38.4,Neutral,39.6,2.1,5.66,0.3,5.49,12046.84,80.1,12046.84
48,HH0049,Kakuma 2,4.0,2025-06-06,E-Voucher,51.1,Very Unsatisfied,40.4,4.9,10.1,1.23,12.78,12251.69,96.4,12251.69
49,HH0050,Kakuma 4,6.0,2025-06-25,E-Voucher,30.9,Very Satisfied,21.2,2.8,3.53,0.47,5.15,13447.05,54.9,13447.05
50,HH0051,Kakuma 4,5.0,2025-06-13,Dry Rations,29.2,Very Unsatisfied,20.3,2.6,4.06,0.52,5.84,13447.05,52.1,13447.05
51,HH0052,Kakuma 4,5.0,2025-06-21,Dry Rations,58.1,Neutral,45.3,3.5,9.06,0.7,11.62,13447.05,106.9,13447.05
52,HH0053,Kakuma 4,1.0,2025-06-02,Dry Rations,45.9,Very Satisfied,32.4,4.1,32.4,4.1,45.9,13447.05,82.4,13447.05
53,HH0054,Kalobeyei,1.0,2025-06-08,E-Voucher,54.0,Very Unsatisfied,40.0,5.0,40.0,5.0,54.0,12046.84,99.0,12046.84
54,HH0055,Kakuma 3,6.0,2025-06-21,Dry Rations,40.16,Neutral,20.5,2.0,3.42,0.33,6.69,11340.6,62.66,11340.6
55,HH0056,Kakuma 1,2.0,2025-06-02,Dry Rations,30.8,Very Unsatisfied,21.2,3.0,10.6,1.5,15.4,19830.82,55.0,19830.82
56,HH0057,Kakuma 4,5.0,2025-06-04,Dry Rations,36.4,Neutral,22.7,1.9,4.54,0.38,7.28,13447.05,61.0,13447.05
57,HH0058,Kakuma 2,1.0,2025-06-25,E-Voucher,31.8,Unsatisfied,20.4,1.8,20.4,1.8,31.8,12251.69,54.0,12251.69
58,HH0059,Kakuma 4,7.0,2025-06-15,Cash Transfer,47.1,Neutral,28.3,3.6,4.04,0.51,6.73,13447.05,79.0,13447.05
59,HH0060,Kakuma 2,1.0,2025-06-04,Dry Rations,32.5,Very Unsatisfied,19.8,3.0,19.8,3.0,32.5,12251.69,55.3,12251.69
60,HH0061,Kakuma 2,4.0,2025-06-13,Cash Transfer,28.3,Very Satisfied,19.8,2.3,4.95,0.57,7.08,12251.69,50.4,12251.69
61,HH0062,Kakuma 4,9.0,2025-06-28,Dry Rations,41.4,Very Unsatisfied,26.8,2.1,2.98,0.23,4.6,13447.05,70.3,13447.05
62,HH0063,Kalobeyei,1.0,2025-06-12,Dry Rations,27.1,Very Satisfied,19.9,2.7,19.9,2.7,27.1,12046.84,49.7,12046.84
63,HH0064,Kakuma 2,4.0,2025-06-28,Dry Rations,22.0,Satisfied,16.9,1.1,4.22,0.28,5.5,12251.69,40.0,12251.69
64,HH0065,Kakuma 2,6.0,2025-06-13,E-Voucher,41.3,Very Unsatisfied,29.3,2.4,4.88,0.4,6.88,12251.69,73.0,12251.69
65,HH0066,Kakuma 4,6.0,2025-06-13,Dry Rations,22.5,Very Unsatisfied,14.2,1.1,2.37,0.18,3.75,13447.05,37.8,13447.05
66,HH0067,Kakuma 2,8.0,2025-06-14,Cash Transfer,47.8,Unsatisfied,35.6,3.7,4.45,0.46,5.98,12251.69,87.1,12251.69
67,HH0068,Kakuma 2,1.0,2025-06-20,E-Voucher,26.0,Neutral,18.7,2.5,18.7,2.5,26.0,12251.69,47.2,12251.69
68,HH0069,Kakuma 4,7.0,2025-06-18,Dry Rations,17.6,Very Satisfied,13.1,1.5,1.87,0.21,2.51,13447.05,32.2,13447.05
69,HH0070,Kakuma 4,1.0,2025-06-29,Dry Rations,37.1,Very Satisfied,28.0,3.4,28.0,3.4,37.1,13447.05,68.5,13447.05
70,HH0071,Kakuma 1,7.0,2025-06-28,E-Voucher,41.4,Unsatisfied,32.9,2.1,4.7,0.3,5.91,19830.82,76.4,19830.82
71,HH0072,Kalobeyei,3.0,2025-07-01,E-Voucher,44.9,Unsatisfied,32.1,3.5,10.7,1.17,14.97,502.09,80.5,502.09
72,HH0073,Kalobeyei,8.0,2025-06-06,Dry Rations,40.16,Neutral,27.9,3.0,3.49,0.38,5.02,12046.84,71.06,12046.84
73,HH0074,Kakuma 2,3.0,2025-06-29,Cash Transfer,29.4,Neutral,21.5,2.2,7.17,0.73,9.8,12251.69,53.1,12251.69
74,HH0075,Kalobeyei,1.0,2025-06-11,Cash Transfer,47.1,Very Unsatisfied,28.9,2.5,28.9,2.5,47.1,12046.84,78.5,12046.84
75,HH0076,Kakuma 2,8.0,2025-06-30,Cash Transfer,49.6,Satisfied,38.7,4.2,4.84,0.52,6.2,12251.69,92.5,12251.69
76,HH0077,Kakuma 1,3.0,2025-06-02,Dry Rations,27.9,Neutral,17.4,2.1,5.8,0.7,9.3,19830.82,47.4,19830.82
77,HH0078,Kakuma 4,2.0,2025-06-28,E-Voucher,38.2,Unsatisfied,25.4,3.0,12.7,1.5,19.1,13447.05,66.6,13447.05
78,HH0079,Kakuma 4,1.0,2025-06-23,Dry Rations,37.3,Neutral,28.5,2.8,28.5,2.8,37.3,13447.05,68.6,13447.05
79,HH0080,Kakuma 4,3.0,2025-06-19,Dry Rations,42.2,Very Satisfied,30.4,2.4,10.13,0.8,14.07,13447.05,75.0,13447.05
80,HH0081,Kalobeyei,2.0,2025-07-01,Cash Transfer,38.0,Satisfied,25.8,3.1,12.9,1.55,19.0,502.09,66.9,502.09
81,HH0082,Kakuma 1,2.0,2025-06-19,Cash Transfer,40.16,Very Unsatisfied,27.3,2.3,13.65,1.15,20.08,19830.82,69.76,19830.82
82,HH0083,Kalobeyei,6.0,2025-06-19,Cash Transfer,46.4,Very Satisfied,35.8,4.3,5.97,0.72,7.73,12046.84,86.5,12046.84
83,HH0084,Kalobeyei,1.0,2025-06-19,E-Voucher,28.9,Very Satisfied,19.3,2.3,19.3,2.3,28.9,12046.84,50.5,12046.84
84,HH0085,Kakuma 1,2.0,2025-06-02,Dry Rations,47.4,Satisfied,36.7,2.7,18.35,1.35,23.7,19830.82,86.8,19830.82
85,HH0086,Kakuma 1,6.0,2025-06-10,Cash Transfer,51.4,Very Unsatisfied,31.7,5.0,5.28,0.83,8.57,19830.82,88.1,19830.82
86,HH0087,Kakuma 1,3.0,2025-06-25,Dry Rations,56.3,Unsatisfied,42.5,4.3,14.17,1.43,18.77,19830.82,103.1,19830.82
87,HH0088,Kakuma 1,4.0,2025-06-02,Dry Rations,40.16,Very Unsatisfied,42.5,1.0,10.62,0.25,10.04,19830.82,83.66,19830.82
88,HH0089,Kakuma 4,1.0,2025-06-30,Dry Rations,40.16,Very Unsatisfied,24.3,3.1,24.3,3.1,40.16,13447.05,67.56,13447.05
89,HH0090,Kakuma 3,8.0,2025-06-11,Cash Transfer,20.3,Very Satisfied,13.9,1.3,1.74,0.16,2.54,11340.6,35.5,11340.6
90,HH0091,Kakuma 3,7.0,2025-06-18,Dry Rations,40.16,Neutral,9.9,1.4,1.41,0.2,5.74,11340.6,51.46,11340.6
91,HH0092,Kakuma 1,7.0,2025-06-29,Dry Rations,41.4,Unsatisfied,9.9,3.8,1.41,0.54,5.91,19830.82,55.1,19830.82
92,HH0093,Kakuma 3,3.0,2025-07-01,Dry Rations,40.16,Neutral,25.5,3.6,8.5,1.2,13.39,679.36,69.26,679.36
93,HH0094,Kakuma 3,3.0,2025-06-24,Dry Rations,43.0,Very Unsatisfied,31.3,3.2,10.43,1.07,14.33,11340.6,77.5,11340.6
94,HH0095,Kakuma 1,2.0,2025-06-15,Dry Rations,44.9,Neutral,28.7,3.3,14.35,1.65,22.45,19830.82,76.9,19830.82
95,HH0096,Kakuma 3,1.0,2025-06-09,Dry Rations,52.5,Unsatisfied,33.7,4.6,33.7,4.6,52.5,11340.6,90.8,11340.6
96,HH0097,Kalobeyei,7.0,2025-06-23,Cash Transfer,40.5,Unsatisfied,24.6,2.3,3.51,0.33,5.79,12046.84,67.4,12046.84
97,HH0098,Kakuma 1,7.0,2025-06-19,Cash Transfer,69.2,Unsatisfied,46.0,5.4,6.57,0.77,9.89,19830.82,120.6,19830.82
98,HH0099,Kakuma 2,2.0,2025-06-09,E-Voucher,43.1,Very Unsatisfied,30.7,3.3,15.35,1.65,21.55,12251.69,77.1,12251.69
99,HH0100,Kakuma 1,7.0,2025-06-03,Dry Rations,58.4,Unsatisfied,30.7,3.2,4.39,0.46,8.34,19830.82,92.3,19830.82
100,HH0101,Kakuma 4,8.0,2025-06-21,Dry Rations,16.7,Very Satisfied,12.2,1.2,1.52,0.15,2.09,13447.05,30.1,13447.05
101,HH0102,Kakuma 1,8.0,2025-06-09,Cash Transfer,53.5,Very Unsatisfied,36.8,3.0,4.6,0.38,6.69,19830.82,93.3,19830.82
102,HH0103,Kakuma 4,9.0,2025-06-28,Cash Transfer,38.2,Neutral,30.2,3.5,3.36,0.39,4.24,13447.05,71.9,13447.05
103,HH0104,Kakuma 2,7.0,2025-06-30,E-Voucher,20.5,Neutral,15.2,3.0,2.17,0.43,2.93,12251.69,38.7,12251.69
104,HH0105,Kakuma 1,3.0,2025-06-14,E-Voucher,44.2,Neutral,34.7,2.4,11.57,0.8,14.73,19830.82,81.3,19830.82
105,HH0106,Kalobeyei,3.0,2025-06-19,Cash Transfer,37.0,Very Unsatisfied,26.1,2.3,8.7,0.77,12.33,12046.84,65.4,12046.84
106,HH0107,Kakuma 3,7.0,2025-06-07,Cash Transfer,45.8,Neutral,29.9,4.3,4.27,0.61,6.54,11340.6,80.0,11340.6
107,HH0108,Kakuma 4,7.0,2025-06-16,Cash Transfer,50.1,Very Unsatisfied,30.6,2.8,4.37,0.4,7.16,13447.05,83.5,13447.05
108,HH0109,Kakuma 3,6.0,2025-06-16,Cash Transfer,25.1,Very Unsatisfied,18.7,3.0,3.12,0.5,4.18,11340.6,46.8,11340.6
109,HH0110,Kakuma 1,9.0,2025-06-28,E-Voucher,50.1,Unsatisfied,31.3,2.8,3.48,0.31,5.57,19830.82,84.2,19830.82
110,HH0111,Kakuma 1,5.0,2025-06-01,Dry Rations,40.1,Very Satisfied,26.5,3.3,5.3,0.66,8.02,19830.82,69.9,19830.82
111,HH0112,Kakuma 3,3.0,2025-06-04,E-Voucher,53.5,Unsatisfied,37.8,3.6,12.6,1.2,17.83,11340.6,94.9,11340.6
112,HH0113,Kalobeyei,3.0,2025-06-04,E-Voucher,37.9,Unsatisfied,27.0,3.4,9.0,1.13,12.63,12046.84,68.3,12046.84
113,HH0114,Kakuma 3,1.0,2025-06-07,Cash Transfer,35.3,Very Unsatisfied,25.4,2.2,25.4,2.2,35.3,11340.6,62.9,11340.6
114,HH0115,Kakuma 1,8.0,2025-06-08,E-Voucher,40.3,Very Unsatisfied,25.4,3.3,3.18,0.41,5.04,19830.82,69.0,19830.82
115,HH0116,Kalobeyei,8.0,2025-06-17,Dry Rations,41.0,Neutral,27.7,2.5,3.46,0.31,5.12,12046.84,71.2,12046.84
116,HH0117,Kakuma 2,3.0,2025-06-05,Dry Rations,33.4,Neutral,24.2,2.9,8.07,0.97,11.13,12251.69,60.5,12251.69
117,HH0118,Kakuma 3,8.0,2025-06-07,Cash Transfer,35.0,Unsatisfied,27.8,3.0,3.48,0.38,4.38,11340.6,65.8,11340.6
118,HH0119,Kakuma 1,8.0,2025-06-28,Cash Transfer,27.7,Very Unsatisfied,20.7,1.6,2.59,0.2,3.46,19830.82,50.0,19830.82
119,HH0120,Kakuma 2,4.0,2025-06-20,Cash Transfer,35.7,Satisfied,28.0,3.3,7.0,0.82,8.93,12251.69,67.0,12251.69
120,HH0121,Kakuma 2,4.0,2025-06-29,E-Voucher,46.8,Very Unsatisfied,35.2,3.7,8.8,0.92,11.7,12251.69,85.7,12251.69
121,HH0122,Kakuma 4,5.0,2025-06-20,E-Voucher,38.6,Satisfied,27.7,2.2,5.54,0.44,7.72,13447.05,68.5,13447.05
122,HH0123,Kalobeyei,6.0,2025-06-04,E-Voucher,50.1,Neutral,32.0,3.6,5.33,0.6,8.35,12046.84,85.7,12046.84
123,HH0124,Kakuma 3,5.0,2025-06-04,E-Voucher,38.1,Very Unsatisfied,27.9,3.0,5.58,0.6,7.62,11340.6,69.0,11340.6
124,HH0125,Kakuma 1,7.0,2025-06-06,E-Voucher,25.7,Very Unsatisfied,18.6,2.2,2.66,0.31,3.67,19830.82,46.5,19830.82
125,HH0126,Kakuma 4,2.0,2025-06-06,E-Voucher,46.0,Very Unsatisfied,18.6,4.0,9.3,2.0,23.0,13447.05,68.6,13447.05
126,HH0127,Kalobeyei,7.0,2025-06-18,Cash Transfer,33.3,Unsatisfied,23.2,1.8,3.31,0.26,4.76,12046.84,58.3,12046.84
127,HH0128,Kakuma 4,7.0,2025-07-01,Cash Transfer,37.7,Neutral,26.6,2.8,3.8,0.4,5.39,294.8,67.1,294.8
128,HH0129,Kalobeyei,1.0,2025-07-01,Dry Rations,40.16,Neutral,34.9,4.8,34.9,4.8,40.16,502.09,79.86,502.09
129,HH0130,Kalobeyei,7.0,2025-06-20,Dry Rations,28.4,Unsatisfied,20.0,2.7,2.86,0.39,4.06,12046.84,51.1,12046.84
130,HH0131,Kakuma 3,5.0,2025-07-01,Cash Transfer,41.6,Neutral,26.6,3.1,5.32,0.62,8.32,679.36,71.3,679.36
131,HH0132,Kalobeyei,3.0,2025-06-30,E-Voucher,39.6,Satisfied,30.1,3.9,10.03,1.3,13.2,12046.84,73.6,12046.84
132,HH0133,Kakuma 4,3.0,2025-06-29,E-Voucher,47.0,Satisfied,29.9,3.6,9.97,1.2,15.67,13447.05,80.5,13447.05
133,HH0134,Kalobeyei,4.0,2025-06-03,E-Voucher,48.6,Neutral,30.0,3.4,7.5,0.85,12.15,12046.84,82.0,12046.84
134,HH0135,Kakuma 3,2.0,2025-06-07,Dry Rations,42.6,Neutral,29.3,3.9,14.65,1.95,21.3,11340.6,75.8,11340.6
135,HH0136,Kakuma 3,2.0,2025-06-27,E-Voucher,36.4,Satisfied,26.6,2.7,13.3,1.35,18.2,11340.6,65.7,11340.6
136,HH0137,Kakuma 4,1.0,2025-06-27,Dry Rations,40.16,Neutral,30.7,3.3,30.7,3.3,40.16,13447.05,74.16,13447.05
137,HH0138,Kakuma 2,5.0,2025-06-22,Dry Rations,40.16,Neutral,35.0,4.0,7.0,0.8,8.03,12251.69,79.16,12251.69
138,HH0139,Kakuma 2,4.0,2025-06-14,E-Voucher,39.7,Very Unsatisfied,35.0,3.7,8.75,0.92,9.93,12251.69,78.4,12251.69
139,HH0140,Kalobeyei,4.0,2025-06-07,E-Voucher,37.3,Very Unsatisfied,25.0,3.4,6.25,0.85,9.32,12046.84,65.7,12046.84
140,HH0141,Kakuma 1,3.0,2025-06-05,Cash Transfer,43.9,Satisfied,25.0,3.1,8.33,1.03,14.63,19830.82,72.0,19830.82
141,HH0142,Kalobeyei,7.0,2025-06-29,Cash Transfer,40.4,Unsatisfied,31.7,3.0,4.53,0.43,5.77,12046.84,75.1,12046.84
142,HH0143,Kakuma 4,7.0,2025-06-22,E-Voucher,26.6,Very Satisfied,18.6,2.0,2.66,0.29,3.8,13447.05,47.2,13447.05
143,HH0144,Kakuma 4,4.0,2025-06-05,Dry Rations,42.4,Neutral,28.2,3.3,7.05,0.82,10.6,13447.05,73.9,13447.05
144,HH0145,Kakuma 4,5.0,2025-06-30,Dry Rations,40.16,Neutral,19.8,1.6,3.96,0.32,8.03,13447.05,61.56,13447.05
145,HH0146,Kakuma 4,5.0,2025-06-23,Dry Rations,43.7,Unsatisfied,26.5,3.9,5.3,0.78,8.74,13447.05,74.1,13447.05
146,HH0147,Kakuma 4,6.0,2025-06-02,Dry Rations,32.0,Neutral,22.2,2.4,3.7,0.4,5.33,13447.05,56.6,13447.05
147,HH0148,Kakuma 3,9.0,2025-06-02,Dry Rations,40.4,Very Unsatisfied,27.0,2.7,3.0,0.3,4.49,11340.6,70.1,11340.6
148,HH0149,Kakuma 2,2.0,2025-06-27,Cash Transfer,43.9,Unsatisfied,34.4,2.4,17.2,1.2,21.95,12251.69,80.7,12251.69
149,HH0150,Kakuma 4,5.0,2025-06-21,E-Voucher,40.16,Very Satisfied,38.9,4.0,7.78,0.8,8.03,13447.05,83.06,13447.05
150,HH0151,Kakuma 1,3.0,2025-06-22,Cash Transfer,47.4,Very Unsatisfied,33.7,4.6,11.23,1.53,15.8,19830.82,85.7,19830.82
151,HH0152,Kakuma 1,4.0,2025-06-06,Dry Rations,53.6,Satisfied,40.1,3.5,10.02,0.88,13.4,19830.82,97.2,19830.82
152,HH0153,Kakuma 1,6.0,2025-06-06,Dry Rations,58.7,Unsatisfied,40.9,3.4,6.82,0.57,9.78,19830.82,103.0,19830.82
153,HH0154,Kakuma 1,8.0,2025-06-06,Dry Rations,40.16,Neutral,27.7,3.3,3.46,0.41,5.02,19830.82,71.16,19830.82
154,HH0155,Kakuma 1,1.0,2025-06-10,Dry Rations,42.9,Very Unsatisfied,34.1,2.8,34.1,2.8,42.9,19830.82,79.8,19830.82
155,HH0156,Kakuma 1,8.0,2025-06-23,E-Voucher,29.3,Very Unsatisfied,20.6,1.5,2.58,0.19,3.66,19830.82,51.4,19830.82
156,HH0157,Kakuma 4,7.0,2025-06-26,Dry Rations,38.8,Very Unsatisfied,28.0,3.0,4.0,0.43,5.54,13447.05,69.8,13447.05
157,HH0158,Kalobeyei,1.0,2025-06-24,Dry Rations,32.8,Very Unsatisfied,21.2,2.5,21.2,2.5,32.8,12046.84,56.5,12046.84
158,HH0159,Kakuma 1,1.0,2025-06-07,Dry Rations,36.0,Very Unsatisfied,25.1,2.8,25.1,2.8,36.0,19830.82,63.9,19830.82
159,HH0160,Kakuma 3,3.0,2025-06-05,E-Voucher,40.16,Very Unsatisfied,40.3,4.0,13.43,1.33,13.39,11340.6,84.46,11340.6
160,HH0161,Kakuma 3,1.0,2025-06-05,Cash Transfer,41.1,Very Satisfied,25.3,3.0,25.3,3.0,41.1,11340.6,69.4,11340.6
161,HH0162,Kakuma 1,9.0,2025-06-13,Dry Rations,31.2,Very Unsatisfied,19.4,3.0,2.16,0.33,3.47,19830.82,53.6,19830.82
162,HH0163,Kalobeyei,8.0,2025-06-21,E-Voucher,53.7,Very Satisfied,41.2,3.0,5.15,0.38,6.71,12046.84,97.9,12046.84
163,HH0164,Kakuma 1,2.0,2025-06-26,Cash Transfer,49.6,Unsatisfied,32.1,3.1,16.05,1.55,24.8,19830.82,84.8,19830.82
164,HH0165,Kakuma 3,9.0,2025-06-18,Dry Rations,50.1,Unsatisfied,32.1,3.1,3.57,0.34,5.57,11340.6,85.3,11340.6
165,HH0166,Kakuma 2,7.0,2025-06-13,Dry Rations,19.9,Neutral,13.9,3.0,1.99,0.43,2.84,12251.69,36.8,12251.69
166,HH0167,Kakuma 4,9.0,2025-06-21,Dry Rations,40.16,Very Satisfied,44.8,5.2,4.98,0.58,4.46,13447.05,90.16,13447.05
167,HH0168,Kakuma 3,6.0,2025-06-21,E-Voucher,34.4,Satisfied,21.1,2.1,3.52,0.35,5.73,11340.6,57.6,11340.6
168,HH0169,Kakuma 1,6.0,2025-06-18,E-Voucher,47.8,Neutral,34.2,4.1,5.7,0.68,7.97,19830.82,86.1,19830.82
169,HH0170,Kakuma 4,4.0,2025-06-05,Cash Transfer,40.16,Unsatisfied,40.7,3.3,10.18,0.82,10.04,13447.05,84.16,13447.05
170,HH0171,Kakuma 1,2.0,2025-06-05,E-Voucher,40.16,Very Unsatisfied,37.4,4.4,18.7,2.2,20.08,19830.82,81.96,19830.82
171,HH0172,Kakuma 1,7.0,2025-06-04,E-Voucher,30.2,Very Unsatisfied,18.4,2.7,2.63,0.39,4.31,19830.82,51.3,19830.82
172,HH0173,Kakuma 2,5.0,2025-06-04,Dry Rations,25.6,Very Unsatisfied,19.6,1.7,3.92,0.34,5.12,12251.69,46.9,12251.69
